,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
0,Guardians of the Galaxy Vol. 3,2023,PG-13,"['Action', ' Adventure', ' Comedy']",150,8.2,64,139491,82.0
1,Ant-Man and the Wasp: Quantumania,2023,PG-13,"['Action', ' Adventure', ' Comedy']",124,6.2,48,155496,62.0
2,Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",121,8.0,76,1215829,80.0
3,Crater,2023,PG,"['Adventure', ' Drama', ' Family']",105,5.2,65,2389,52.0
4,Guardians of the Galaxy Vol. 2,2017,PG-13,"['Action', ' Adventure', ' Comedy']",136,7.6,67,713241,76.0
5,Avatar: The Way of Water,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",192,7.7,67,383409,77.0
6,Everything Everywhere All at Once,2022,R,"['Action', ' Adventure', ' Comedy']",139,7.8,81,446986,78.0
7,Dune,2021,PG-13,"['Action', ' Adventure', ' Drama']",155,8.0,74,676691,80.0
8,Knights of the Zodiac,2023,PG-13,"['Action', ' Adventure', ' Drama']",112,4.6,35,2794,46.0
9,Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,8.7,74,1908271,87.0
10,The Suicide Squad,2021,R,"['Action', ' Adventure', ' Comedy']",132,7.2,72,372360,72.0
11,65,2023,PG-13,"['Action', ' Adventure', ' Drama']",93,5.4,40,44273,54.0
12,Spider-Man: No Way Home,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",148,8.2,71,795800,82.0
13,Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1178675,84.0
14,Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2411390,88.0
15,The Meg,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",113,5.6,46,180109,56.0
16,M3GAN,2022,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",102,6.4,72,102944,64.0
17,Nope,2022,R,"['Horror', ' Mystery', ' Sci-Fi']",130,6.8,77,228913,68.0
18,Spider-Man: Into the Spider-Verse,2018,PG,"['Animation', ' Action', ' Adventure']",117,8.4,87,563490,84.0
19,Strange World,2022,PG,"['Animation', ' Action', ' Adventure']",102,5.6,65,39892,56.0
20,Thor: Love and Thunder,2022,PG-13,"['Action', ' Adventure', ' Comedy']",118,6.2,57,363079,62.0
21,The Hunger Games,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,7.2,68,947581,72.0
22,Black Panther: Wakanda Forever,2022,PG-13,"['Action', ' Adventure', ' Drama']",161,6.7,67,267849,67.0
23,Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",164,8.0,81,603113,80.0
24,Infinity Pool,2023,R,"['Crime', ' Horror', ' Mystery']",117,6.1,72,30232,61.0
25,Ad Astra,2019,PG-13,"['Adventure', ' Drama', ' Mystery']",123,6.5,80,246601,65.0
26,The Artifice Girl,2022,,"['Mystery', ' Sci-Fi', ' Thriller']",93,6.5,60,4331,65.0
27,Back to the Future,1985,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,8.5,87,1237790,85.0
28,Spider-Man: Homecoming,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,679433,74.0
29,Avengers: Infinity War,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1122152,84.0
